Step,Loss,Batch Size,Train Accuracy,Test Accuracy
642,2.3288789,16,0.25,
643,2.6524942,16,0.125,
644,2.9650831,16,0.0,
645,2.544561,16,0.3125,
646,2.7872038,16,0.125,
647,3.2414346,16,0.0,
648,2.712455,16,0.3125,
649,3.0150018,16,0.0625,
650,2.6378865,16,0.125,
651,2.2944908,16,0.375,
652,2.6787043,16,0.0625,
653,2.3324466,16,0.25,
654,2.9468908,16,0.1875,
655,2.7973833,16,0.1875,
656,2.5846567,16,0.1875,
657,2.8636167,16,0.1875,
658,2.3242068,16,0.1875,
659,2.9678113,16,0.125,
660,2.644999,16,0.125,
661,2.499937,16,0.3125,
662,2.3058705,16,0.375,
663,2.18454,16,0.3125,
664,2.8105295,16,0.1875,
665,2.7721114,16,0.125,
666,2.202477,16,0.3125,
667,2.5434916,16,0.1875,
668,3.0005674,16,0.125,
669,2.9017026,16,0.0625,
670,3.0472875,16,0.0625,
671,2.357068,16,0.3125,
672,2.5291715,16,0.25,
673,2.302848,16,0.25,
674,3.517377,16,0.125,
675,2.518901,16,0.25,
676,2.6098442,16,0.125,
677,2.4153056,16,0.3125,
678,2.5421834,16,0.1875,
679,2.896463,16,0.0625,
680,2.7159197,16,0.1875,
681,2.1263192,16,0.3125,
682,2.5195422,16,0.25,
683,2.7642238,16,0.1875,
684,2.7503629,16,0.0625,
685,2.516613,16,0.25,
686,2.5756989,16,0.25,
687,2.52212,16,0.1875,
688,2.6111865,16,0.0625,
689,2.947617,16,0.1875,
690,2.8163295,16,0.1875,
691,2.435439,16,0.1875,
692,2.4023604,16,0.3125,
693,2.4194045,16,0.1875,
694,2.4784122,16,0.1875,
695,2.2810717,16,0.125,
696,2.9191234,16,0.125,
697,3.160493,16,0.125,
698,3.0709114,16,0.1875,
699,2.5280676,16,0.25,
700,2.5133457,16,0.125,0.2016
701,2.7267354,16,0.0,
702,2.6583278,16,0.125,
703,2.5698009,16,0.125,
704,2.6377769,16,0.375,
705,2.2859068,16,0.25,
706,2.6982272,16,0.1875,
707,2.4208126,16,0.1875,
708,2.0508745,16,0.3125,
709,2.8370867,16,0.125,
710,2.792736,16,0.0625,
711,2.5069695,16,0.3125,
712,2.5623918,16,0.25,
713,2.8252258,16,0.125,
714,2.744597,16,0.125,
715,2.5941055,16,0.25,
716,2.7184772,16,0.0625,
717,2.796135,16,0.25,
718,2.4459214,16,0.1875,
719,2.5943804,16,0.25,
720,2.5525508,16,0.3125,
721,2.5530682,16,0.125,
722,2.3817785,16,0.1875,
723,2.6959543,16,0.1875,
724,2.6451359,16,0.125,
725,2.5177462,16,0.125,
726,2.6599107,16,0.125,
727,2.2179189,16,0.3125,
728,2.9411373,16,0.1875,
729,3.1984987,16,0.1875,
730,2.9673667,16,0.0625,
731,2.7639894,16,0.125,
732,2.1309543,16,0.375,
733,2.8831534,16,0.0625,
734,2.6864018,16,0.1875,
735,2.3240056,16,0.3125,
736,2.5260344,16,0.3125,
737,2.6485224,16,0.1875,
738,3.0733542,16,0.125,
739,2.6016893,16,0.1875,
740,2.7438526,16,0.125,
741,2.3203611,16,0.375,
742,2.8720834,16,0.0,
743,2.4729304,16,0.1875,
744,2.6309698,16,0.1875,
745,2.4650512,16,0.375,
746,2.9291995,16,0.0625,
747,2.5880702,16,0.1875,
748,2.688159,16,0.3125,
749,2.3732815,16,0.1875,
750,2.7316852,16,0.125,
751,2.4873407,16,0.125,
752,2.8650808,16,0.0625,
753,2.8883252,16,0.1875,
754,2.7443085,16,0.0625,
755,2.6394649,16,0.25,
756,2.2442818,16,0.3125,
757,2.6554904,16,0.0625,
758,3.0731573,16,0.125,
759,2.9538112,16,0.125,
760,2.601706,16,0.3125,
761,3.1076446,16,0.0625,
762,2.5199392,16,0.25,
763,2.8674712,16,0.0,
764,2.6929407,16,0.3125,
765,2.6932116,16,0.25,
766,2.9410949,16,0.0,
767,2.4415057,16,0.3125,
768,2.8153548,16,0.1875,
769,2.4985623,16,0.125,
770,2.8437066,16,0.1875,
771,2.283959,16,0.3125,
772,2.9737718,16,0.125,
773,2.6901793,16,0.0625,
774,2.454926,16,0.3125,
775,2.7511826,16,0.0625,
776,2.6874287,16,0.1875,
777,2.3681388,16,0.25,
778,2.7738032,16,0.1875,
779,3.0132227,16,0.125,
780,2.661013,16,0.1875,
781,2.7014756,16,0.125,
782,2.887417,16,0.125,
783,2.8752487,16,0.1875,
784,2.2885025,16,0.25,
785,2.1801472,16,0.1875,
786,2.5637069,16,0.0625,
787,2.5384057,16,0.25,
788,2.3243797,16,0.1875,
789,2.8143618,16,0.0625,
790,2.7483244,16,0.0,
791,2.9842947,16,0.1875,
792,2.9533305,16,0.0625,
793,2.5605946,16,0.25,
794,2.5578425,16,0.0625,
795,2.1916976,16,0.4375,
796,2.4797678,16,0.25,
797,2.8653338,16,0.0625,
798,2.4179966,16,0.1875,
799,2.440546,16,0.1875,
800,2.5177267,16,0.25,0.2122
801,2.5484285,16,0.25,
802,2.8398185,16,0.1875,
803,2.674926,16,0.25,
804,2.9127712,16,0.1875,
805,2.477273,16,0.375,
806,2.8565857,16,0.125,
807,2.7276568,16,0.25,
808,2.6388195,16,0.1875,
809,2.4540355,16,0.1875,
810,2.3662057,16,0.3125,
811,2.142692,16,0.3125,
812,2.6127887,16,0.25,
813,3.1084895,16,0.0625,
814,2.772418,16,0.125,
815,2.7802925,16,0.125,
816,2.495556,16,0.1875,
817,2.2027874,16,0.3125,
818,2.2469602,16,0.25,
819,2.6288218,16,0.25,
820,2.617855,16,0.25,
821,2.70924,16,0.3125,
822,2.71348,16,0.1875,
823,2.131625,16,0.5,
824,2.532309,16,0.1875,
825,3.0705338,16,0.0,
826,2.6623545,16,0.125,
827,2.3107944,16,0.1875,
828,2.63727,16,0.125,
829,2.6325026,16,0.25,
830,2.3732235,16,0.375,
831,2.629057,16,0.0625,
832,2.6692996,16,0.1875,
833,2.372889,16,0.25,
834,2.4639869,16,0.125,
835,2.5186787,16,0.25,
836,2.6890328,16,0.125,
837,3.0314722,16,0.1875,
838,2.720909,16,0.125,
839,2.5554237,16,0.3125,
840,2.6195617,16,0.1875,
841,3.3476794,16,0.125,
842,2.8981192,16,0.1875,
843,2.852253,16,0.125,
844,2.2993715,16,0.3125,
845,2.3385499,16,0.375,
846,2.499327,16,0.25,
847,2.6510072,16,0.1875,
848,2.9224756,16,0.0625,
849,2.5925517,16,0.375,
850,2.5974135,16,0.1875,
851,2.209208,16,0.3125,
852,2.361579,16,0.25,
853,2.4997425,16,0.25,
854,3.2010393,16,0.1875,
855,2.501567,16,0.3125,
856,2.5428681,16,0.125,
857,2.7934833,16,0.0625,
858,2.7778618,16,0.25,
859,2.6160698,16,0.25,
860,2.4847603,16,0.125,
861,2.508561,16,0.25,
862,2.1849327,16,0.3125,
863,3.5811284,16,0.0625,
864,2.6991453,16,0.1875,
865,2.3854673,16,0.3125,
866,2.9256053,16,0.0625,
867,2.4594252,16,0.25,
868,3.0324945,16,0.0625,
869,2.5995584,16,0.25,
870,2.4181244,16,0.3125,
871,2.5349998,16,0.3125,
872,2.5782518,16,0.1875,
873,2.7046452,16,0.125,
874,2.3721895,16,0.375,
875,2.6637573,16,0.1875,
876,2.2492638,16,0.4375,
877,2.5242956,16,0.1875,
878,2.926055,16,0.1875,
879,2.7101607,16,0.25,
880,2.4753356,16,0.25,
881,2.4432302,16,0.3125,
882,2.7135198,16,0.1875,
883,2.3290658,16,0.3125,
884,2.98841,16,0.1875,
885,2.7538595,16,0.1875,
886,2.4083045,16,0.125,
887,2.259479,16,0.25,
888,2.445208,16,0.3125,
889,2.5945249,16,0.1875,
890,2.6861506,16,0.125,
891,2.3330755,16,0.25,
892,2.131127,16,0.25,
893,2.3328297,16,0.375,
894,2.7283359,16,0.125,
895,2.7915075,16,0.25,
896,2.4826581,16,0.1875,
897,2.3746731,16,0.1875,
898,2.4410777,16,0.25,
899,2.4846911,16,0.375,
900,2.9516447,16,0.25,0.2255
901,2.2074046,16,0.3125,
902,2.3985887,16,0.1875,
